magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
6.6,1,3,670,0,8.865,19,7,-60.1023,-24.4608,2021,8,1
6.9,8,7,741,0,0.579,54,93,-14.892,167.085,2021,8,1
6.9,6,4,734,0,8.363,48,16.7,-58.3814,-23.3318,2021,8,1
7.2,9,8,2331,0,1.178,23,10,18.3521,-73.4804,2021,8,1
6.9,5,4,738,0,0,0,33.3,55.2364,-157.707,2021,8,1
6.9,5,4,738,0,1.173,36,20.74,55.2657,-157.68,2021,8,1
8.1,0,7,1009,0,7.463,78,22.79,-58.4157,-25.3206,2021,8,0
7.5,9,6,868,0,7.227,38,47.23,-57.5959,-25.1874,2021,8,1
7.1,9,7,846,0,1.273,25,55.14,6.4547,126.742,2021,8,1
8.2,8,6,1237,0,0.875,66,46.66,55.4742,-157.917,2021,7,1
8.2,8,7,1252,0,0,0,35,55.3154,-157.829,2021,7,1
6.7,8,5,935,0,8.139,12,110,13.6989,120.713,2021,7,1
6.7,6,6,830,0,1.395,61,10,7.5904,-82.8813,2021,7,1
6.5,0,4,650,0,7.994,24,25,-30.2144,-177.773,2021,6,1
6.5,5,7,652,0,4.518,44,10,-16.4796,-177.356,2021,5,1
7.3,9,9,1025,0,4.655,9,10,34.5861,98.2551,2021,5,0
6.7,8,4,698,0,1.487,37,11,0.1684,96.6475,2021,5,0
6.7,9,3,694,0,10.669,45,10,-17.2495,66.3745,2021,5,0
6.9,7,6,919,0,2.619,35,43,38.2296,141.665,2021,5,1
6.5,4,4,651,0,5.931,20,246,-21.6857,-177.064,2021,4,0
6.5,6,4,652,0,10.405,19,301,-18.9204,-176.235,2021,4,0
7,7,7,1052,0,2.378,35,43,38.4752,141.607,2021,3,1
6.6,5,5,672,0,3.183,18,13.23,54.7018,163.208,2021,3,1
6.5,0,4,650,0,11.764,25,24,-28.4792,-176.619,2021,3,0
8.1,9,8,1021,0,0.739,21,28.93,-29.7466,-177.224,2021,3,1
7.4,3,7,843,0,0.437,30,43,-29.6131,-177.842,2021,3,1
7.3,7,6,932,0,0.918,24,10,-37.596,179.544,2021,3,1
7.1,9,8,1612,0,3.085,11,43.98,37.6856,141.992,2021,2,1
7.7,9,4,918,0,7.989,15,10,-23.2787,171.489,2021,2,1
6.9,9,5,739,0,1.55,16,15,-61.8484,-55.559,2021,1,1
7,7,5,802,0,2.821,15,80,5.0074,127.517,2021,1,1
6.7,8,8,776,0,2.043,22,10,51.2407,100.443,2021,1,0
6.7,5,5,776,0,1.319,19,10,-39.3264,-74.9067,2020,12,1
7,8,7,1527,0,1.518,18,21,37.8973,26.7953,2020,10,0
7.6,9,7,1165,0,0.23,36,28.37,54.662,-159.675,2020,10,1
6.9,0,3,732,0,11.255,16,10,0.9604,-26.8332,2020,9,1
6.5,6,6,674,0,0.388,49,16,-27.9285,-71.3937,2020,9,0
6.8,6,7,824,0,0.312,69,21,-28.013,-71.1958,2020,9,1
6.5,4,5,651,0,15.394,31,10,0.8696,-29.7046,2020,8,0
6.9,4,3,749,0,2.267,20,624,-6.6704,123.493,2020,8,0
6.9,4,4,735,0,1.716,25,26,-4.2791,101.215,2020,8,0
6.8,5,4,716,0,1.816,34,22,-4.3724,101.095,2020,8,0
6.6,9,8,784,0,5.128,14,10,12.0065,124.13,2020,8,1
7.8,9,7,1111,0,0.621,60,28,55.1079,-158.477,2020,7,1
7,6,7,820,0,1.671,18,73,-7.847,147.755,2020,7,1
6.6,4,2,684,0,1.458,14,533.76,-5.6368,110.678,2020,7,0
7.4,8,8,1494,0,0.151,30,20,15.9163,-95.9533,2020,6,1
7.4,7,7,873,0,4.035,23,10,-33.2938,-177.838,2020,6,1
6.6,5,4,734,0,2.015,18,165,28.9386,128.262,2020,6,1
6.8,6,6,835,0,1.164,21,112,-23.2966,-68.4204,2020,6,1
6.5,7,8,1320,27,0.357,55.79,2.7,38.1689,-117.85,2020,5,0
6.6,4,6,671,0,3.403,12,107,-12.0662,166.648,2020,5,1
6.8,4,6,738,0,1.921,16,96,-6.7762,129.785,2020,5,0
6.5,7,6,678,0,1.293,19,10,34.1818,25.7101,2020,5,0
6.5,8,8,1410,0,0.885,31,12.06,44.4646,-115.118,2020,3,0
7.5,6,5,879,0,4.109,12,57.8,48.9638,157.695,2020,3,1
7,5,6,770,0,4.501,25,143,45.6161,148.959,2020,2,1
7.7,9,6,1812,0,1.657,26,14.86,19.4193,-78.756,2020,1,1
6.7,8,9,1247,0,0.87,49,10,38.4312,39.0609,2020,1,0
6.8,9,7,825,0,0.546,39,18,6.6969,125.174,2019,12,1
7.1,6,6,799,0,1.271,11,33,1.6213,126.416,2019,11,1
6.5,0,2,650,0,4.765,25,577,-21.9449,-179.511,2019,11,0
6.6,4,4,673,0,5.086,48,10,-18.5747,-175.272,2019,11,1
6.5,9,7,733,0,0.428,19,10,6.9098,125.178,2019,10,1
6.6,9,7,780,0,0.646,24,15,6.7567,125.008,2019,10,1
6.7,7,6,844,0,1.269,98,11,-35.4758,-73.163,2019,9,1
6.5,7,7,656,0,3.909,15,12.26,-3.4528,128.37,2019,9,1
6.6,2,3,671,0,4.121,19,591,-20.3641,-178.57,2019,9,1
6.6,0,4,670,0,12.896,19,16,-60.2152,-26.5801,2019,8,1
6.9,4,6,875,0,2.839,23,49,-7.2822,104.791,2019,8,0
6.8,6,6,947,0,0.817,35,25,-34.2364,-72.3102,2019,8,1
6.6,0,4,670,0,6.024,30,181,-16.1985,167.998,2019,7,1
7.2,7,7,809,0,1.504,38,18.98,-0.5858,128.034,2019,7,1
6.6,5,5,791,0,2.978,32,10,-18.2242,120.358,2019,7,0
6.9,7,5,747,0,1.205,21,35,0.5126,126.189,2019,7,0
7.1,9,9,1646,77,0.04616,43,8,35.7695,-117.599,2019,7,0
7.3,4,6,952,0,2.629,16,212,-6.4078,129.169,2019,6,1
7.3,8,6,830,0,1.402,11,46,-30.6441,-178.1,2019,6,1
6.6,7,6,886,0,1.193,22,57.92,13.1994,-89.3056,2019,5,1
8,9,8,1890,0,3.18,17,122.57,-5.8119,-75.2697,2019,5,1
7.6,7,7,929,0,0.453,16,10,-4.051,152.597,2019,5,1
7.1,7,6,826,0,2.514,16,146,-6.9746,146.449,2019,5,1
6.8,5,6,717,0,0.791,28,15.46,-1.8146,122.58,2019,4,1
6.5,0,5,650,0,7.568,18,38,-58.6262,-25.304,2019,4,1
7,7,4,869,0,2.501,42,267,-14.7131,-70.1546,2019,3,1
7.5,7,7,1145,0,2.045,15,145,-2.1862,-77.0505,2019,2,1
6.7,6,6,909,0,0.289,43,66,14.6802,-92.4527,2019,2,1
6.7,0,3,691,0,7.527,17,13,-43.1219,42.3568,2019,1,0
6.7,8,8,1600,0,0.173,22,63,-30.0404,-71.3815,2019,1,1
6.6,5,4,671,0,7.818,18,35,-13.336,166.875,2019,1,1
6.6,2,4,672,0,1.596,33,43.21,2.258,126.758,2019,1,1
6.8,3,3,715,0,1.181,16,570.41,-8.144,-71.587,2019,1,0
7,5,5,803,0,1.769,21,60.21,5.8983,126.921,2018,12,1
7.3,3,7,822,0,4.126,23,16.56,55.0999,164.699,2018,12,1
7.1,0,5,776,0,7.043,20,133,-58.5446,-26.3856,2018,12,1
6.6,0,4,670,0,2.679,31,10,-22.0629,169.733,2018,12,1
7.5,3,6,871,0,2.405,18,10,-21.9496,169.427,2018,12,1
7.1,8,8,1790,0,0,0,46.7,61.3464,-149.955,2018,11,1
6.8,0,3,711,0,2.879,39,540,-17.8735,-178.927,2018,11,1
6.7,3,4,693,0,7.853,19,10,71.6312,-11.2431,2018,11,1
6.8,8,7,954,0,2.268,15,14,37.5203,20.5565,2018,10,0
6.5,2,4,655,0,1.692,68,10,49.297,-129.724,2018,10,0
6.8,4,4,776,0,1.505,36,10,49.3346,-129.289,2018,10,1
6.5,3,4,669,0,1.611,63,10,49.2586,-129.412,2018,10,1
6.5,0,4,650,0,2.109,22,17,-21.7427,169.522,2018,10,1
6.7,0,3,691,0,2.705,17,461,52.8549,153.243,2018,10,1
6.5,0,4,650,0,3.923,14,20,49.2902,156.297,2018,10,1
7,6,6,758,0,1.778,18,39,-5.7012,151.205,2018,10,1
6.7,2,3,691,0,3.745,23,550,-18.3604,-178.063,2018,9,1
7.5,8,8,2026,0,1.649,13,20,-0.2559,119.846,2018,9,0
6.5,4,1,651,0,5.139,18,576,-25.415,178.199,2018,9,0
6.9,3,4,735,0,2.785,18,115,-31.7447,-179.373,2018,9,0
6.5,3,6,651,0,1.638,25,68,-10.0207,161.503,2018,9,1
7.9,7,4,979,0,1.431,12,670.81,-18.4743,179.35,2018,9,1
6.6,8,9,1075,0,1.13,32,35,42.6861,141.929,2018,9,1
7.1,2,5,776,0,2.548,23,21.43,-22.0295,170.126,2018,8,1
7.1,0,3,776,0,3.77,12,630,-11.0355,-70.8284,2018,8,0
6.5,6,7,652,0,4.797,10,9,-16.0315,168.143,2018,8,1
7.3,8,6,1570,0,1.822,15,146.82,10.7731,-62.9019,2018,8,1
6.9,7,7,1206,0,2.453,31,21,-8.319,116.627,2018,8,0
8.2,5,4,1050,0,3.63,13,600,-18.1125,-178.153,2018,8,1
6.5,5,3,743,0,2.719,23,529,-7.3718,119.802,2018,8,0
6.5,6,6,655,0,0.576,22,33.93,51.4234,-178.026,2018,8,1
6.9,9,8,1704,0,2.271,15,34,-8.2581,116.438,2018,8,0
6.9,7,8,1392,63,0.11,210,5.81,19.3182,-155,2018,5,1
6.8,5,3,733,0,5.32,16,559,-20.6588,-63.0058,2018,4,0
6.9,9,6,741,0,1.487,18,35,-5.5321,151.5,2018,3,1
6.7,5,6,696,0,1.507,15,40,-5.5024,151.402,2018,3,1
6.8,6,6,719,0,1.049,16,22.86,-4.3762,153.2,2018,3,1
6.7,8,7,697,0,5.457,19,20.49,-6.3043,142.612,2018,3,1
7.5,9,8,943,0,5.48,17,25.21,-6.0699,142.754,2018,2,1
7.2,7,7,1384,0,0.142,82,22,16.3855,-97.9787,2018,2,1
7.9,9,4,1870,0,2.585,30,14.06,56.0039,-149.166,2018,1,1
7.1,9,7,1075,0,4.29,23,39,-15.7675,-74.7092,2018,1,1
7.5,8,5,1623,0,4.581,12,19,17.4825,-83.52,2018,1,1
6.5,8,7,998,0,2.365,28,90,-7.4921,108.174,2017,12,0
6.5,1,5,651,0,17.654,23,17,-54.2189,2.1628,2017,12,1
7,4,6,771,0,0.617,14,10,-21.3246,168.671,2017,11,1
6.6,4,5,676,0,0.529,21,13,-21.5027,168.598,2017,11,1
6.5,8,8,1153,0,0.225,37,19.36,9.5147,-84.4865,2017,11,1
7.3,8,9,2790,0,0.284,33,19,34.9109,45.9592,2017,11,0
6.5,6,5,661,0,4.449,10,110.57,-4.2433,143.485,2017,11,1
6.8,5,5,727,0,4.852,21,10,-15.3197,-173.168,2017,11,1
6.6,3,5,674,0,0.788,29,22,-21.6484,168.859,2017,11,1
6.7,3,4,691,0,1.062,55,24,-21.6971,169.148,2017,10,1
6.7,3,3,694,0,1.634,16,553.81,-7.2168,123.074,2017,10,0
6.5,3,5,651,0,1.154,11,119,52.3909,176.769,2017,10,1
7.1,9,8,1686,0,0.984,23,48,18.5499,-98.4887,2017,9,0
8.2,9,7,2910,0,0.944,22,47.39,15.0222,-93.8993,2017,9,1
6.5,5,7,707,0,11.411,22,9,33.1926,103.855,2017,8,0
6.6,7,7,1064,0,0.913,16,7,36.9293,27.4139,2017,7,0
7.7,8,7,918,0,3.564,13,10,54.4434,168.857,2017,7,1
6.6,5,4,704,0,3.773,37,10,-49.4837,164.016,2017,7,1
6.5,9,8,740,0,4.139,30,9,11.1269,124.629,2017,7,1
6.8,6,6,1034,0,1.065,38,38.12,13.7174,-90.9718,2017,6,1
6.9,8,6,1188,0,0.247,35,93,14.9091,-92.0092,2017,6,1
6.8,0,4,711,0,2.308,12,5,54.0312,170.92,2017,6,1
6.6,7,7,678,0,2.353,18,12,-1.2923,120.431,2017,5,0
6.5,0,4,650,0,6.489,17,15,-56.414,-25.7432,2017,5,1
6.8,6,5,713,0,7.495,19,169,-14.5884,167.377,2017,5,1
6.9,9,6,814,0,1.636,14,26,5.5043,125.066,2017,4,1
6.9,9,7,1642,0,0.356,39,28,-33.0375,-72.0617,2017,4,1
6.5,7,8,1297,0,2.36,15,29,-22.6784,25.1558,2017,4,0
6.6,6,7,671,0,4.591,14,17,56.9401,162.786,2017,3,1
6.9,2,3,733,0,6.012,19,414.5,-23.2593,-178.804,2017,2,1
6.5,3,3,653,0,4.242,14,595.98,-19.2814,-63.9047,2017,2,0
6.5,8,7,718,0,2.822,36,15,9.9071,125.452,2017,2,1
7.9,9,7,987,0,3.625,9,135,-6.2464,155.172,2017,1,1
6.5,6,6,654,0,1.64,21,36,-10.3506,161.335,2017,1,1
7.3,6,3,849,0,3.813,18,627.17,4.4782,122.617,2017,1,1
6.9,6,4,742,0,2.495,13,12,-19.3733,176.052,2017,1,1
7.6,9,8,1152,0,0.355,29,38,-43.4064,-73.9413,2016,12,1
6.7,5,5,726,0,3.38,17,152,-7.5082,127.921,2016,12,0
7.9,9,7,972,0,1.389,13,94.54,-4.5049,153.522,2016,12,1
6.9,8,6,737,0,1.747,26,19.73,-10.749,161.132,2016,12,1
6.5,0,5,650,0,1.937,18,12.26,-10.8416,161.314,2016,12,0
7.8,9,8,961,0,1.836,13,40,-10.6812,161.327,2016,12,1
6.6,5,4,1120,0,1.405,55,8.45,40.4535,-126.194,2016,12,1
6.5,9,8,731,0,0.778,27,13,5.2834,96.1678,2016,12,0
6.6,8,7,693,0,1.697,20,17,39.2732,73.9776,2016,11,0
6.9,5,4,855,0,1.796,20,10,11.9097,-88.8968,2016,11,1
6.9,9,6,1144,0,0.671,10,9,37.3931,141.387,2016,11,1
6.5,7,7,664,0,0.283,56,9,-42.6058,173.254,2016,11,1
6.5,6,7,656,0,0.135,58,10,-42.3205,173.669,2016,11,1
7.8,9,9,1545,0,0.481,21,15.11,-42.7373,173.054,2016,11,1
6.6,9,8,2840,0,0.174,25,8,42.8621,13.0961,2016,10,0
6.6,3,3,677,0,2.022,16,614,-4.8626,108.163,2016,10,0
6.8,3,6,716,0,3.727,11,42,-6.0033,148.887,2016,10,1
6.9,2,3,733,0,4.051,9,596.4,-19.7819,-178.244,2016,9,1
7,5,6,897,0,0.698,21,19,-37.3586,179.146,2016,9,1
6.8,4,3,713,0,0.803,12,476,-3.6849,152.792,2016,8,1
6.8,6,6,981,0,1.802,17,82,20.9228,94.569,2016,8,0
7.2,6,5,799,0,4.823,14,16.37,-22.4765,173.117,2016,8,1
7.7,5,6,971,0,3.294,14,196,18.5429,145.507,2016,7,1
6.6,4,6,671,0,2.435,16,50,-2.0967,100.665,2016,6,0
7.2,1,6,798,0,5.803,24,78,-56.2409,-26.9353,2016,5,1
6.9,3,3,733,0,5.485,19,405.69,-21.9724,-178.204,2016,5,1
6.9,8,7,780,0,1.192,17,29.95,0.4947,-79.616,2016,5,1
6.7,5,7,744,0,1.352,21,16,0.4261,-79.7899,2016,5,1
7,7,7,755,0,0.616,14,24,-16.0429,167.379,2016,4,1
7.8,9,9,1163,0,1.44,15,20.59,0.3819,-79.9218,2016,4,1
7,9,9,2074,0,0.349,32,10,32.7906,130.754,2016,4,1
6.9,6,6,903,0,3.001,14,136,23.0944,94.8654,2016,4,0
6.6,6,4,738,0,0.789,17,212,36.4725,71.1311,2016,4,0
6.7,7,5,692,0,6.787,25,27.59,-13.9805,166.594,2016,4,1
6.7,7,6,691,0,6.697,19,24,-14.0683,166.624,2016,4,1
6.9,7,6,734,0,1.166,25,26,-14.3235,166.855,2016,4,1
7.8,4,3,948,0,7.009,20,24,-4.9521,94.3299,2016,3,0
7.2,3,7,799,0,0.958,17,177,53.9776,158.546,2016,1,1
7.1,7,7,1496,0,0,0,125.6,59.6204,-153.339,2016,1,1
6.6,3,4,673,0,2.413,74,10,18.8239,-106.934,2016,1,1
6.7,5,6,717,0,0.281,22,46,41.9723,142.781,2016,1,1
6.5,3,6,651,0,3.144,22,13,3.8965,126.862,2016,1,1
6.7,8,7,1515,0,1.794,16,55,24.8036,93.6505,2016,1,0
6.6,8,6,765,0,0.41,35,85,15.8015,-93.633,2015,12,1
6.9,8,5,738,0,2.979,14,21,-4.1064,129.508,2015,12,0
7.2,4,7,827,0,1.116,18,22,38.2107,72.7797,2015,12,0
6.7,2,3,691,0,2.033,19,602.75,-9.1825,-71.2574,2015,11,0
7.6,5,4,896,0,2.852,10,620.56,-10.0598,-71.0184,2015,11,0
7.6,6,5,957,0,3.287,10,606.21,-10.5372,-70.9437,2015,11,1
6.8,5,6,715,0,1.599,19,12.59,-8.8994,158.422,2015,11,1
6.5,7,7,1018,0,0,0,11,38.67,20.6,2015,11,0
6.7,5,4,702,0,1.444,17,12,31.0009,128.873,2015,11,0
6.9,5,6,744,0,0.821,43,10,-29.5097,-72.0585,2015,11,0
6.9,6,6,761,0,0.784,32,12,-29.5067,-72.0068,2015,11,1
6.6,7,4,675,0,2.792,31,10,6.8431,94.648,2015,11,0
6.8,7,7,841,0,0.258,41,46,-30.8796,-71.4519,2015,11,1
6.5,5,7,657,0,1.53,21,20,-8.3381,124.875,2015,11,0
7.5,8,7,1448,0,0.622,18,231,36.5244,70.3676,2015,10,0
7.1,6,6,780,0,0.592,11,135,-14.8595,167.303,2015,10,1
6.6,7,7,671,0,2.486,13,18,-0.6212,131.262,2015,9,0
6.6,5,7,820,0,1.064,14,35,-31.7275,-71.3792,2015,9,1
6.7,5,7,718,0,0.853,35,23,-31.5173,-71.804,2015,9,0
6.5,6,7,657,0,0.749,62,27,-31.4244,-71.6876,2015,9,0
7,8,7,799,0,0.903,13,28.41,-31.5622,-71.4262,2015,9,0
8.3,9,8,1960,0,0.684,19,22.44,-31.5729,-71.6744,2015,9,1
6.7,5,5,708,0,1.256,123,10,24.913,-109.623,2015,9,1
6.5,0,5,650,0,2.045,16,6.43,-9.3293,157.877,2015,8,1
6.6,3,5,671,0,1.872,20,22,-9.3438,158.053,2015,8,1
7,9,7,762,0,6.278,12,48,-2.6286,138.528,2015,7,1
6.9,4,7,734,0,0.444,39,29,52.376,-169.446,2015,7,1
7,8,6,759,0,5.205,22,11,-10.4012,165.141,2015,7,1
6.5,4,4,686,0,1.218,20,20,13.8672,-58.5479,2015,7,1
6.7,4,5,691,0,1.529,11,12,-9.307,158.403,2015,7,1
6.5,3,4,652,0,2.277,11,460,27.7375,139.725,2015,6,0
7.8,6,3,1151,0,1.675,12,664,27.8386,140.493,2015,5,1
6.8,5,6,762,0,0,0,72.6,56.594,-156.43,2015,5,1
6.8,1,5,711,0,3.619,18,10,-11.1093,163.215,2015,5,1
6.9,1,4,732,0,4.024,22,11.19,-11.0559,163.696,2015,5,1
6.8,1,4,711,0,4.395,15,11,-10.8759,164.169,2015,5,1
6.8,8,6,831,0,1.422,8,35,38.9056,142.032,2015,5,1
7.3,8,7,1563,0,0.677,11,15,27.8087,86.0655,2015,5,0
7.1,1,6,776,0,3.835,11,10,-7.2175,154.557,2015,5,1
7.5,7,8,869,0,1.295,22,55,-5.4624,151.875,2015,5,1
6.8,5,6,714,0,1.074,23,44,-5.2005,151.777,2015,5,1
6.7,5,6,692,0,1.239,12,31,-5.375,151.771,2015,4,1
6.7,7,7,1016,0,0.727,13,22.91,27.7711,86.0173,2015,4,0
6.6,8,7,733,0,1.778,16,10,28.2244,84.8216,2015,4,0
7.8,8,9,2820,0,1.857,12,8.22,28.2305,84.7314,2015,4,0
6.5,0,5,650,0,3.702,42,10,-15.8815,-178.6,2015,4,1
6.5,2,5,650,0,4.629,36,11,-15.4994,-173.029,2015,3,1
7.5,6,7,872,0,0.666,19,41,-4.7294,152.562,2015,3,1
7,4,6,760,0,1.362,12,552.06,-7.2968,122.535,2015,2,0
6.7,5,5,714,0,1.925,20,23,39.8558,142.881,2015,2,1
6.7,4,6,700,0,2.11,16,223,-23.1125,-66.688,2015,2,1
6.8,1,4,711,0,2.019,13,219.96,-17.0309,168.52,2015,1,1
6.5,1,4,650,0,4.318,61,8,5.9045,-82.6576,2015,1,1
6.6,7,6,709,0,2.485,43,20,7.9401,-82.6865,2014,12,1
6.6,1,5,670,0,3.246,12,23,-6.5108,154.46,2014,12,1
6.6,1,3,670,0,2.6,9,614,6.1572,123.126,2014,12,0
6.8,6,5,713,0,1.421,19,39,1.9604,126.575,2014,11,1
6.5,5,5,652,0,1.549,9,35,2.2999,127.056,2014,11,1
6.7,7,4,698,0,1.079,25,22,-37.6478,179.662,2014,11,1
7.1,4,6,779,0,1.397,18,45,1.8929,126.522,2014,11,1
6.6,2,6,671,0,3.557,13,53.19,-5.9873,148.232,2014,11,1
7.1,3,6,776,0,4.415,13,434,-19.6903,-177.759,2014,11,1
7.3,8,6,982,0,1.078,18,40,12.5262,-88.1225,2014,10,1
6.7,5,5,724,0,0.46,11,130,13.7641,144.429,2014,9,1
6.8,6,6,741,0,4.107,18,101,-14.598,-73.5714,2014,8,1
6.9,0,4,732,0,6.393,12,13,0.8295,146.169,2014,8,1
6.9,0,6,732,0,3.934,15,615.42,-19.8015,-178.4,2014,7,1
6.5,5,4,706,0,2.421,9,20,37.0052,142.452,2014,7,1
6.9,8,7,1079,0,0.263,51,53,14.724,-92.4614,2014,7,1
6.5,0,4,650,0,2.124,15,20,-6.2304,152.807,2014,7,1
6.7,0,5,691,0,6.713,45,18,-14.9831,-175.51,2014,6,1
6.9,0,5,732,0,4.838,25,8,-55.4703,-28.3669,2014,6,1
7.9,6,8,963,0,0.133,22,109,51.8486,178.735,2014,6,1
6.7,0,5,691,0,0.748,43,26.59,-29.9414,-177.607,2014,6,0
6.5,0,5,650,0,0.778,30,10,-29.9379,-177.516,2014,6,0
6.9,0,5,732,0,0.751,35,20,-29.9772,-177.725,2014,6,1
6.9,9,7,951,0,0.402,25,6.43,40.2893,25.3889,2014,5,0
6.5,7,5,694,0,3.121,33,10,7.2096,-82.3045,2014,5,1
6.6,0,5,670,0,3.34,10,106,-21.4542,170.355,2014,5,1
6.5,4,6,838,0,0,0,10,49.6388,-127.732,2014,4,1
7.5,0,6,865,0,3.82,16,43.37,-6.7547,155.024,2014,4,1
6.6,0,6,670,0,3.803,11,29,-6.6558,155.087,2014,4,1
7.2,8,7,1017,0,2.25,46,24,17.397,-100.972,2014,4,1
6.6,0,6,670,0,2.666,22,10,-11.1284,162.052,2014,4,0
7.4,0,6,842,0,2.885,17,39,-11.4633,162.051,2014,4,1
7.6,0,7,889,0,2.828,13,22.56,-11.2701,162.148,2014,4,1
6.6,6,5,677,0,0.761,20,135,11.642,-85.8779,2014,4,1
6.5,0,6,650,0,3.787,16,20,-6.7878,154.95,2014,4,1
7.1,0,7,776,0,3.729,21,60.53,-6.5858,155.048,2014,4,1
7.7,8,9,1057,0,1.029,44,22.4,-20.5709,-70.4931,2014,4,1
6.5,7,7,670,0,0.828,82,24.07,-20.3113,-70.5756,2014,4,0
6.9,0,5,732,0,0.828,119,28.42,-19.8927,-70.9455,2014,4,0
8.2,9,8,1332,0,0.609,23,25,-19.6097,-70.7691,2014,4,1
6.7,7,7,718,0,1.008,44,20,-19.9807,-70.7022,2014,3,1
6.8,5,5,1211,112,0.6568,229,16.441,40.8287,-125.134,2014,3,1
6.5,4,5,668,0,1.001,17,119,27.4312,127.367,2014,3,1
6.5,5,4,681,0,1.635,30,14.83,14.6682,-58.9272,2014,2,1
6.9,3,8,733,0,7.496,18,10,35.9053,82.5864,2014,2,0
6.5,0,5,650,0,0.409,20,122,-15.0691,167.372,2014,2,1
6.5,0,3,650,0,3.651,22,44.26,-32.9076,-177.881,2014,2,1
6.5,0,4,650,0,3.997,14,187,-13.8633,167.249,2014,1,1
6.5,3,4,651,0,5.194,22,371,-17.1171,-176.545,2013,11,0
7.7,1,8,912,0,8.05,23,10,-60.2738,-46.4011,2013,11,1
6.9,0,5,732,0,8.284,17,9.97,-60.2627,-47.0621,2013,11,1
